cohort_id,First_Author,Publication_Title,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
306,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9995295739859811,0.9994119674824764,0.003196438158627577,NA,NA,NA,22.19175703493143,-40.38351406986286,-41.16463824499466,4.086886760772182e-5,4,5
307,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9992379915294852,0.9990474894118565,0.0036756647589362393,NA,NA,NA,21.4932725917122,-38.9865451834244,-39.7676693585562,5.4042045680343204e-5,4,5
308,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9922506481887271,0.9903133102359089,0.04003141882827338,NA,NA,NA,9.553619524672367,-15.107239049344734,-15.888363224476533,0.006410057973618563,4,5
309,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.982840946948246,0.9785511836853075,0.0963539453228241,NA,NA,NA,5.161800897943616,-6.323601795887232,-7.104725971019031,0.037136331117095106,4,5
310,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9990282243399388,0.9987852804249234,0.006515353198534898,NA,NA,NA,18.63113549599161,-33.26227099198322,-34.04339516711502,1.697993092066357e-4,4,5
311,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9973801346337846,0.9967251682922308,0.013018267220738886,NA,NA,NA,15.170174897378121,-26.340349794756243,-27.121473969888044,6.779011257222582e-4,4,5
312,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9994478720259691,0.9993098400324614,0.003741963905610604,NA,NA,NA,21.40388969688647,-38.80777939377294,-39.58890356890474,5.600917548357025e-5,4,5
313,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9993274568708211,0.9991593210885265,0.003238028703383902,NA,NA,NA,22.127119008386856,-40.25423801677371,-41.03536219190551,4.193931953575213e-5,4,5
333,Mathuriau,Breakdown of leaf litter in a neotropical stream,0.9711736963547658,0.9670556529768752,0.11964014239398528,NA,NA,NA,6.16875214513265,-8.3375042902653,-8.178621206905628,0.10019634570437151,7,8
335,Mehring,Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers,0.955965184477602,0.9412869126368028,0.1277597870861066,NA,NA,NA,3.130023778449974,-2.2600475568999476,-3.4874588346601665,0.04896768958886187,3,4
342,Menendez,Leaf litter breakdown in Mediterranean streams: effect of dissolved inorganic nutrients,0.9661429220239935,0.9593715064287922,0.20339067098227212,NA,NA,NA,1.5890934419343437,0.8218131161313127,0.4053320545874226,0.20683882521309432,5,6
343,Menendez,Leaf litter breakdown in Mediterranean streams: effect of dissolved inorganic nutrients,0.9837730345566038,0.9805276414679246,0.0552165024066482,NA,NA,NA,9.412293953567081,-14.824587907134163,-15.241068968678054,0.015244310690116933,5,6
344,Menendez,Leaf litter breakdown in Mediterranean streams: effect of dissolved inorganic nutrients,0.9539020127540769,0.9446824153048923,0.25790332521211523,NA,NA,NA,0.16435630772257448,3.671287384554851,3.254806323010961,0.3325706257773304,5,6
345,Menendez,Leaf litter breakdown in Mediterranean streams: effect of dissolved inorganic nutrients,0.9915616352684962,0.9898739623221954,0.05504868361389238,NA,NA,NA,9.430557443075054,-14.861114886150109,-15.277595947694,0.01515178783811212,5,6
359,Pastor,Stream carbon and nitrogen supplements during leaf litter decomposition: contrasting patterns for two foundation species,0.9713494120633555,0.9617992160844739,0.17472759291805454,NA,NA,NA,1.877718531022739,0.24456293795452222,-0.9828483398056966,0.09158919518081216,3,4
361,Peng,Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest,1,1,1.1816665173785033e-10,NA,NA,NA,236.36405915824815,-468.7281183164963,-467.9323277708996,1.396335758293441e-19,10,11
363,Peng,Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest,1,1,5.911039653280074e-11,NA,NA,NA,243.98363934366947,-483.96727868733893,-483.1714881417422,3.4940389782649425e-20,10,11
